customer_number,stage_grouped,max_closed_date,cloud_revenue,total_opp_amount,employees,mk_fit_score,industry,ee_count,contacts_count,non_ee_count,emb_world_attendees,email_clicks,a365_new_wb_visits,a365_rest_wb_visits,total_webinars_attended,total_webinar_attendees,assembly_app_events,assembly_app_days_used,comms_events,comms_days_used,libs_events,libs_days_used,manufacturing_events,manufacturing_days_used,mcad_events,mcad_days_used,multi_cad_events,multi_cad_days_used,part_request_events,part_request_days_used,share_events,share_days_used,tasks_events,tasks_days_used,version_control_events,version_control_days_used,web_review_events,web_review_days_used
25758,won,6/14/2024,168870,875000.03,823,0,Aerospace,44,187,76,0,10,0,33,0,0,2,2,795,85,445,63,0,0,1,1,0,0,0,0,3,2,0,0,4481,167,4163,108
26355,won,6/27/2024,26215.25,21215.25,0,0,Automotive,22,107,28,0,85,3,27,7,14,6,6,27,14,2452,132,177,69,121,50,248,61,2170,136,500,84,6,5,27953,167,49924,158
1852761,won,9/3/2024,35499.98,146978.99,0,0,Aerospace,0,0,0,0,2,0,2,0,0,0,0,0,0,5043,106,1,1,4,2,0,0,1,1,2,2,0,0,3070,119,750,66
1718599,won,6/26/2024,0,81245.99,300,0,Industrial/Instrumentation,6,43,12,0,28,3,166,2,2,4,3,6,4,944,80,7,5,3,2,0,0,0,0,114,36,0,0,8732,141,9897,127
940662,won,6/27/2024,0,26970,8,0,Industrial/Instrumentation,0,3,2,0,2,0,11,0,0,1,1,0,0,3969,72,0,0,10,3,0,0,0,0,1,1,0,0,2229,61,172,5
1741041,won,3/29/2024,45000,137316,208,70,Communications,14,39,9,0,12,0,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1857618,won,9/26/2024,17837.19,20728.19,0,0,Industrial/Instrumentation,0,0,0,0,2,0,22,0,0,0,0,84,17,1354,76,7,2,9,8,0,0,4,2,31,2,35,11,2874,116,817,59
1842529,lost,2/1/2024,600,600,0,0,Service Bureau / Engineering Services,0,2,2,0,3,0,21,0,0,0,0,0,0,609,41,0,0,0,0,0,0,0,0,0,0,0,0,2094,88,0,0
1524311,lost,5/2/2024,19789,19789,0,0,Service Bureau / Engineering Services,8,27,12,0,21,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350151,won,2/27/2024,8359.99,8359.99,6591,0,Industrial/Instrumentation,27,272,40,0,25,0,329,2,2,196,38,365,61,3082,92,336,74,16,11,27,16,317,59,648,84,185,46,21745,116,70643,112
1859476,lost,2/19/2024,1253.99,1253.99,0,0,Industrial/Instrumentation,0,0,0,0,4,3,0,0,0,3,2,24,5,186,3,0,0,1,1,0,0,0,0,1,1,0,0,212,14,60,7
1709677,won,6/27/2024,0,67386.4,0,0,Aerospace,28,123,46,0,6,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
574517,lost,7/14/2023,45000,337199.75,22,0,Service Bureau / Engineering Services,13,52,19,0,31,0,41,1,1,0,0,120,32,8813,78,0,0,70,14,0,0,15,4,89,12,68,20,4701,81,694,47
998474,lost,6/20/2024,15347.6,15347.6,22,14,Industrial/Instrumentation,8,21,10,0,2,1,19,1,1,0,0,0,0,92,9,0,0,2,2,0,0,0,0,0,0,0,0,0,0,48,11
934912,won,9/27/2024,19469.98,19469.99,393,70,Service Bureau / Engineering Services,18,75,22,0,14,6,58,1,1,2059,64,943,86,6134,126,3,2,29,24,246,73,1866,106,533,93,203,39,22245,151,72115,150
1844376,lost,6/11/2024,19789,19789,0,0,Aerospace,2,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1676851,lost,3/7/2024,600,600,0,0,Service Bureau / Engineering Services,0,1,1,0,2,0,5,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,61,21,0,0
1840733,lost,4/27/2024,1200,1200,0,0,Communications,0,1,1,0,1,0,0,0,0,19,1,0,0,9,4,6,5,95,4,0,0,0,0,3,1,0,0,686,19,240,13
577589,lost,5/20/2024,19789,26959,900,0,Consumer Electronics,5,13,4,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,9,1
